0,0,1,1
1,1,1,1
2,2,1,1
3,3,2,2
4,4,1,2
5,5,2,2
6,6,1,2
7,7,1,2
8,8,1,3
9,8,3,3
10,5,1,2
11,9,1,2
12,10,1,2
13,10,2,2
14,11,1,2
15,9,2,2
16,12,1,2
17,13,1,2
18,12,2,2
19,14,2,2
20,14,1,2
21,3,1,2
22,4,2,2
23,6,2,2
24,15,1,1
25,16,2,2
26,16,1,2
27,17,1,1
28,8,2,3
29,18,3,3
30,18,2,3
31,18,1,3
32,19,3,3
33,19,1,3
34,20,3,3
35,20,2,3
36,21,3,3
37,21,2,3
38,20,1,3
39,19,2,3
40,22,1,2
41,22,2,2
42,23,1,1
43,24,1,1
44,25,1,1
45,26,4,4
46,26,3,4
47,26,2,4
48,26,1,4
49,27,2,2
50,27,1,2
51,28,4,5
52,28,3,5
53,29,5,5
54,30,2,3
55,30,3,3
56,31,2,2
57,31,1,2
58,30,1,3
59,32,1,4
60,29,4,5
61,29,3,5
62,29,2,5
63,29,1,5
64,33,4,4
65,33,3,4
66,33,2,4
67,33,1,4
68,28,2,5
69,28,1,5
70,32,4,4
71,32,3,4
72,32,2,4
73,28,5,5
74,34,1,1
75,35,1,1
76,36,1,1
77,37,1,1
78,38,1,1
79,39,1,1
80,40,1,1
81,41,1,1
82,42,1,1
83,43,1,1
84,44,1,1
85,45,1,1
86,46,1,1
87,47,1,1
88,48,1,1
89,49,1,1
90,50,1,1
91,51,1,1
92,52,1,1
93,53,1,1
94,54,1,1
95,55,1,1
96,56,1,1
97,57,1,1
98,58,1,2
99,58,2,2
100,59,1,3
101,59,2,3
102,59,3,3
103,60,2,2
104,60,1,2
105,61,1,2
106,61,2,2
107,60,1,2
108,62,1,2
109,62,2,2
110,60,1,2
111,63,1,3
112,63,2,3
113,63,3,3
114,60,1,2
115,64,1,3
116,64,2,3
117,64,3,3
118,65,1,2
119,65,2,2
120,7,2,2
121,66,3,3
122,66,2,3
123,66,1,3
124,67,2,2
125,67,1,2
126,68,1,1
127,69,1,1
128,70,1,1
129,71,1,1
130,72,1,1
131,73,1,1
132,74,1,1
133,75,1,1
134,76,1,1
135,77,1,1
136,78,1,1
137,79,1,1
138,80,1,1
139,81,1,1
140,82,1,1
141,83,1,1
142,84,1,1
143,85,1,1
144,86,1,2
145,86,2,2
146,87,1,1
147,88,1,2
148,89,1,1
149,90,1,1
150,91,1,1
151,92,2,2
152,92,1,2
153,93,1,1
154,94,1,1
155,95,1,1
156,96,1,1
157,97,1,1
158,98,1,1
159,99,1,1
160,100,1,1
161,101,1,1
162,102,1,1
